Symbol,Name,Common Shares Outstdg,Shr Out less Closely Held Sh,Shr Out less Closely Held Sh
APEI,"American Public Education, Inc.",18.3,17.4,94.1
ARL,"American Realty Investors, Inc.",16.2,1.3,8.1
AWR,American States Water Company,39.2,38.8,99.1
AMSC,American Superconductor Corporation,47.6,45.9,95.6
AVD,American Vanguard Corporation,28.6,27.7,93.2
AMWD,American Woodmark Corporation,14.6,14.0,96.9
ABCB,Ameris Bancorp,67.3,63.4,94.6
AMSF,"AMERISAFE, Inc.",18.7,18.3,98.2
ATLO,Ames National Corporation,8.9,8.7,98.4
AMN,"AMN Healthcare Services, Inc.",38.8,38.4,99.3
AMRX,"Amneal Pharmaceuticals, Inc. Class A",319.0,154.4,52.1
AMPH,"Amphastar Pharmaceuticals, Inc.",44.1,33.1,72.3
AMPL,Amplitude Inc Class A,132.6,84.7,61.0
AMPX,Amprius Technologies Inc,141.6,125.0,85.1
AMLX,"Amylyx Pharmaceuticals, Inc.",111.2,92.8,84.1
ANAB,"AnaptysBio, Inc.",29.1,27.2,93.4
AVXL,Anavex Life Sciences Corp.,92.7,89.8,96.6
ANDE,"Andersons, Inc.",34.1,32.6,94.5
AOMR,"Angel Oak Mortgage REIT, Inc.",24.9,18.7,75.0
ANGI,Angi Inc Class A,40.4,28.5,76.8
ANGO,"AngioDynamics, Inc.",41.3,36.5,95.4
ANIP,"ANI Pharmaceuticals, Inc.",22.7,20.0,86.2
ANIK,"Anika Therapeutics, Inc.",13.3,12.6,96.1
ANNX,"Annexon, Inc.",162.5,143.6,88.5
AVR,Anteris Technologies Global Corp.,97.3,81.3,99.0
ATEX,Anterix Inc.,18.7,18.2,96.5
APOG,"Apogee Enterprises, Inc.",21.2,20.6,97.3
APGE,"Apogee Therapeutics, Inc.",75.3,56.2,69.3
ARI,"Apollo Commercial Real Estate Finance, Inc.",132.9,131.6,98.9
APPN,Appian Corporation Class A,74.4,38.8,52.1
APLE,Apple Hospitality REIT Inc,236.1,218.5,92.9
APLD,Applied Digital Corporation,285.8,258.1,71.4
AAOI,"Applied Optoelectronics, Inc.",80.2,76.4,94.4
AQST,"Aquestive Therapeutics, Inc.",124.3,118.1,94.3
ABR,Arbor Realty Trust Inc,192.4,173.5,90.6
ABUS,Arbutus Biopharma Corporation,196.9,156.5,78.2
ARCB,ArcBest Corporation,22.3,21.8,98.0
ACHR,Archer Aviation Inc Class A,759.6,635.9,83.8
AROC,Archrock Inc.,175.3,170.3,97.3
ACA,"Arcosa, Inc.",49.1,48.2,98.2
ARCT,"Arcturus Therapeutics Holdings, Inc.",28.4,26.0,91.6
RCUS,"Arcus Biosciences, Inc.",125.8,83.0,65.6
ARQT,Arcutis Biotherapeutics Inc,125.1,110.4,88.1
AMBP,Ardagh Metal Packaging S.A,597.7,137.3,23.1
ARDX,"Ardelyx, Inc.",247.0,236.2,96.3
ARDT,"Ardent Health, Inc.",143.4,22.5,16.2
ASC,Ardmore Shipping Corp.,40.8,34.5,85.5
AREN,"Arena Group Holdings, Inc.",47.6,11.2,23.3
ACRE,Ares Commercial Real Estate Corporation,55.5,52.0,93.7
AGX,"Argan, Inc.",14.0,13.4,95.8
ARHS,"Arhaus, Inc. Class A",141.3,51.9,36.4
ARKO,ARKO Corp,112.2,72.7,64.9
ARLO,"Arlo Technologies, Inc.",108.6,105.3,97.4
ARR,"ARMOUR Residential REIT, Inc.",124.0,123.8,99.7
ARQ,"Arq, Inc.",42.9,32.0,79.4
ARRY,Array Technologies Inc,153.8,151.1,98.4
AVBP,"ArriVent BioPharma, Inc.",46.6,31.5,65.4
AROW,Arrow Financial Corporation,16.5,16.0,97.1
ARWR,"Arrowhead Pharmaceuticals, Inc.",140.9,131.9,92.0
SPRY,"ARS Pharmaceuticals, Inc.",99.3,62.6,62.6
AIP,"Arteris, Inc.",46.2,35.0,70.0
APAM,"Artisan Partners Asset Management, Inc. Class A",71.0,68.8,97.2
AORT,"Artivion, Inc.",48.5,46.3,95.4
ARVN,"Arvinas, Inc.",64.5,53.8,83.7
ASAN,"Asana, Inc. Class A",243.7,93.7,37.2
ABG,"Asbury Automotive Group, Inc.",18.6,18.5,99.2
ACNT,Ascent Industries Co.,9.0,8.0,88.8
ASPI,"ASP Isotopes, Inc.",125.9,112.9,88.1
ASPN,Aspen Aerogels Inc,82.9,69.4,83.5
ASB,Associated Banc-Corp,165.9,141.6,98.9
ASTE,"Astec Industries, Inc.",23.0,22.6,98.7
ASTH,Astrana Health Inc.,49.6,39.1,77.6
ATRO,Astronics Corporation,35.9,31.3,85.9
ASUR,"Asure Software, Inc.",28.7,23.5,83.5
AVIR,"Atea Pharmaceuticals, Inc.",80.0,63.3,79.6
ASIC,Ategrity Specialty Insurance Company Holdings,48.0,7.6,15.8
ATKR,Atkore Inc,33.8,33.1,98.2
BATRA,Atlanta Braves Holdings Inc Class A,64.1,9.5,15.1
BATRK,Atlanta Braves Holdings Inc Class C,64.1,47.5,73.5
ATLN,Atlantic International Corp,79.4,11.0,39.1
AUB,Atlantic Union Bankshares Corporation,143.1,141.7,99.1
ATLC,Atlanticus Holdings Corp.,15.1,9.3,62.3
AESI,Atlas Energy Solutions Inc.,124.9,79.4,63.8
ATMU,"Atmus Filtration Technologies, Inc.",81.7,81.0,99.3
ATNI,"ATN International, Inc.",15.4,9.6,64.6
ATOM,Atomera Incorporated,38.7,36.6,94.4
ATRC,"AtriCure, Inc.",50.6,48.5,96.4
RNA,"Atrium Therapeutics, Inc.",17.1,17.1,#N/A
ATYR,"aTyr Pharma, Inc.",98.1,95.6,97.5
AEYE,"AudioEye, Inc.",12.4,7.9,64.6
AURA,Aura Biosciences Inc,103.4,72.1,73.6
AUPH,Aurinia Pharmaceuticals Inc.,128.6,113.9,89.6
AVNS,"Avanos Medical, Inc.",46.8,44.9,96.2
AVAH,Aveanna Healthcare Holdings Inc,217.5,81.0,34.0
AVPT,"AvePoint, Inc. Class A",212.0,143.2,62.8
AVNW,"Aviat Networks, Inc.",12.9,11.5,89.5
AVBH,"Avidbank Holdings, Inc.",11.0,8.4,75.6
AVNT,Avient Corporation,91.7,90.9,99.1
AVA,Avista Corporation,82.6,81.8,99.0
RCEL,AVITA Medical Inc,24.8,24.6,99.0
ACLS,"Axcelis Technologies, Inc.",30.7,30.4,98.6
AXGN,"Axogen, Inc.",53.2,51.9,97.9
