Symbol,Name,Common Shares Outstdg,Shr Out less Closely Held Sh,Shr Out less Closely Held Sh
CNDT,"Conduent, Inc.",155.1,139.0,89.1
CNMD,CONMED Corporation,30.1,29.9,99.2
CNOB,"ConnectOne Bancorp, Inc.",50.3,47.4,94.2
CCSI,"Consensus Cloud Solutions, Inc.",18.4,17.4,96.2
CWCO,Consolidated Water Co. Ltd.,16.0,15.0,93.9
CSTM,Constellium SE Class A,136.2,119.9,89.2
ROAD,"Construction Partners, Inc. Class A",56.5,47.0,82.9
CPSS,"Consumer Portfolio Services, Inc.",21.7,9.2,41.9
CTGO,Contango Silver & Gold Inc.,30.7,27.7,72.8
CPS,Cooper-Standard Holdings Inc.,17.8,16.8,95.1
CDP,COPT Defense Properties,113.4,113.0,99.6
CLB,Core Laboratories Inc.,46.1,45.4,98.3
CMT,"Core Molding Technologies, Inc.",9.2,8.2,90.8
CNR,"Core Natural Resources, Inc.",50.4,49.2,97.8
CORZ,Core Scientific Inc,317.9,301.0,94.3
CXW,"CoreCivic, Inc.",98.9,95.4,97.1
CRMD,CorMedix Inc.,78.4,70.4,90.6
CRSR,"Corsair Gaming, Inc.",106.9,45.8,43.2
CRVL,CorVel Corporation,51.2,28.8,56.0
CRVS,"Corvus Pharmaceuticals, Inc.",84.1,64.1,73.6
CMDB,Costamare Bulkers Holdings Limited,24.2,8.3,35.0
CMRE,Costamare Inc.,120.6,43.7,36.6
COUR,Coursera Inc,286.3,226.8,84.9
CVLG,"Covenant Logistics Group, Inc. Class A",25.1,15.1,58.1
CVSA,Covista Inc.,34.0,33.0,97.7
PMTS,"CPI Card Group, Inc.",11.5,5.6,48.3
CRAI,"CRA International, Inc.",6.5,6.2,96.1
CBRL,"Cracker Barrel Old Country Store, Inc.",22.4,21.9,97.7
CRD.A,Crawford & Company Class A,48.7,15.9,33.1
CRDO,Credo Technology Group Holding Ltd.,184.4,165.7,86.6
CRGY,Crescent Energy Company Class A,330.3,278.8,88.0
CXDO,"Crexendo, Inc.",32.4,18.2,55.5
CRCT,"Cricut, Inc. Class A",209.9,44.6,21.4
CRNX,Crinetics Pharmaceuticals Inc,105.4,98.2,93.2
CRSP,CRISPR Therapeutics AG,96.4,89.5,92.7
CRML,Critical Metals Corp.,122.1,57.7,28.9
CCRN,"Cross Country Healthcare, Inc.",32.3,29.8,93.4
CYRX,"CryoPort, Inc.",50.4,47.9,95.8
LAW,"CS Disco, Inc.",64.1,24.8,41.3
CSGS,"CSG Systems International, Inc.",28.5,27.1,95.3
CSPI,CSP Inc.,10.1,7.1,69.2
CSW,"CSW Industrials, Inc.",16.5,16.2,98.8
CTO,CTO Realty Growth Inc,33.8,32.1,95.6
CTS,CTS Corporation,28.6,28.1,97.8
CGEM,"Cullinan Therapeutics, Inc.",61.5,#N/A,#N/A
CURB,Curbline Properties Corp.,105.5,96.3,91.0
CURI,CuriosityStream Inc Class A,59.3,40.4,68.6
CWK,Cushman & Wakefield Ltd.,234.3,232.6,99.5
CTOS,Custom Truck One Source Inc,227.4,59.4,26.4
CUBI,"Customers Bancorp, Inc.",33.8,31.3,92.5
CVBF,CVB Financial Corp.,176.5,163.7,93.6
CVI,"CVR Energy, Inc.",100.5,29.3,30.0
CVRX,"CVRx, Inc.",26.5,14.7,56.4
CTKB,"Cytek Biosciences, Inc.",129.1,118.2,90.7
CYTK,"Cytokinetics, Incorporated",124.4,120.6,96.9
QBTS,D-Wave Quantum Inc.,369.9,356.4,96.5
DJCO,Daily Journal Corporation,1.4,1.3,89.8
DC,Dakota Gold Corp,133.5,112.7,77.4
DAKT,"Daktronics, Inc.",48.3,42.5,88.9
DAN,Dana Incorporated,109.6,107.9,98.2
DCH,Dauch Corporation,237.4,225.2,93.4
PLAY,"Dave & Buster's Entertainment, Inc.",34.7,33.7,97.7
DAVE,"Dave, Inc. Class A",12.7,9.8,79.0
DH,Definitive Healthcare Corp. Class A,105.5,26.9,28.6
DFTX,"Definium Therapeutics, Inc.",109.1,105.4,95.5
DCTH,"Delcath Systems, Inc.",34.5,31.9,97.1
DK,Delek US Holdings Inc,61.3,59.7,97.1
DLX,Deluxe Corporation,45.8,44.3,97.8
DNLI,Denali Therapeutics Inc.,158.7,141.7,89.3
DSGN,"Design Therapeutics, Inc.",62.5,37.1,55.6
DBI,Designer Brands Inc. Class A,49.6,34.1,69.8
DHT,"DHT Holdings, Inc.",161.0,142.8,84.2
DMAC,DiaMedica Therapeutics Inc.,53.9,27.0,47.9
DRH,DiamondRock Hospitality Company,204.5,201.7,98.9
DNTH,"Dianthus Therapeutics, Inc.",54.7,50.7,87.9
DBD,Diebold Nixdorf Inc,34.6,34.0,98.1
DGII,Digi International Inc.,37.7,36.7,96.9
DMRC,Digimarc Corporation,22.1,16.7,76.0
APPS,"Digital Turbine, Inc.",119.9,106.1,86.5
DBRG,"DigitalBridge Group, Inc. Class A",182.4,180.1,98.7
DOCN,"DigitalOcean Holdings, Inc.",104.4,76.1,73.4
DCOM,"Dime Community Bancshares, Inc.",44.1,42.4,95.7
DIN,"Dine Brands Global, Inc.",12.7,12.0,95.9
DIOD,Diodes Incorporated,45.9,45.2,97.1
IRON,"Disc Medicine, Inc.",38.2,29.0,76.0
DSGR,"Distribution Solutions Group, Inc.",46.2,8.7,18.9
DEC,Diversified Energy Company,72.3,61.6,74.3
DHC,Diversified Healthcare Trust,242.1,217.5,89.8
BOOM,DMC Global Inc.,20.5,18.1,83.9
DNOW,DNOW Inc.,182.5,179.5,98.6
DCGO,DocGo Inc.,98.8,92.3,87.3
DOLE,Dole Plc,95.2,76.4,80.9
DOMO,"Domo, Inc. Class B",45.1,37.7,83.0
DGICA,Donegal Group Inc. Class A,36.4,17.0,46.1
DFIN,"Donnelley Financial Solutions, Inc.",25.0,23.5,93.9
LPG,Dorian LPG Ltd.,42.7,36.5,85.6
DORM,"Dorman Products, Inc.",29.9,26.0,87.3
PLOW,"Douglas Dynamics, Inc.",23.1,22.7,96.8
DOUG,Douglas Elliman Inc.,90.9,70.6,80.8
DEI,"Douglas Emmett, Inc",167.5,162.2,96.9
DFH,"Dream Finders Homes, Inc. Class A",91.5,27.6,31.0
DRVN,"Driven Brands Holdings, Inc.",164.5,58.9,35.4
DCO,Ducommun Incorporated,15.1,14.0,92.9
DXPE,"DXP Enterprises, Inc.",15.5,12.7,81.8
DY,"Dycom Industries, Inc.",30.0,29.6,98.7
DYN,Dyne Therapeutics Inc,165.2,129.4,76.5
DX,"Dynex Capital, Inc.",215.2,213.4,99.0
SSP,E. W. Scripps Company Class A,91.4,52.6,71.6
EBMT,"Eagle Bancorp Montana, Inc.",8.0,7.3,91.7
EGBN,"Eagle Bancorp, Inc.",30.5,28.0,91.6
EFSI,"Eagle Financial Services, Inc.",5.4,4.6,83.3
DEA,Easterly Government Properties Inc,46.4,43.5,93.9
EBC,"Eastern Bankshares, Inc.",231.1,213.6,92.5
EML,Eastern Company,6.0,5.6,91.7
KODK,Eastman Kodak Company,97.6,63.3,68.7
ECBK,"ECB Bancorp, Inc.",8.8,7.2,83.0
ECVT,Ecovyst Inc,109.5,106.9,98.5
EPC,Edgewell Personal Care Co.,46.1,45.4,98.6
EWTX,"Edgewise Therapeutics, Inc.",107.6,77.4,71.6
EDIT,"Editas Medicine, Inc.",97.9,97.4,99.5
EGAN,eGain Corporation,27.4,17.6,64.3
EHTH,"eHealth, Inc.",31.7,28.4,89.8
LOCO,"El Pollo Loco Holdings, Inc.",30.5,28.0,90.8
ELMD,"Electromed, Inc.",8.3,6.9,79.0
ELDN,"Eledon Pharmaceuticals, Inc.",75.9,71.9,94.7
EFC,Ellington Financial Inc.,125.4,122.6,97.4
EMBC,Embecta Corporation,59.3,54.5,93.1
EEX,"Emerald Holding, Inc.",197.9,11.7,6.0
EBS,Emergent BioSolutions Inc.,51.6,48.7,96.0
EP,Empire Petroleum Corporation,36.8,24.0,73.4
ESRT,"Empire State Realty Trust, Inc. Class A",172.4,141.2,81.8
EIG,"Employers Holdings, Inc.",18.2,17.7,98.0
ACT,Enact Holdings Inc,139.6,27.5,19.8
ENTA,"Enanta Pharmaceuticals, Inc.",29.0,27.5,93.4
ECPG,"Encore Capital Group, Inc.",21.4,20.4,96.0
*EU,enCore Energy Corp.,194.2,190.5,97.5
ENR,"Energizer Holdings, Inc.",68.5,60.6,89.6
*EFR,Energy Fuels Inc.,249.9,245.9,98.1
ERII,"Energy Recovery, Inc.",51.5,50.1,97.0
ESOA,Energy Services of America Corporation,18.7,14.8,69.7
EPAC,Enerpac Tool Group Corp Class A,51.5,50.7,98.6
ENS,EnerSys,36.9,36.3,98.4
EHAB,"Enhabit, Inc",51.2,44.5,87.1
ELVN,"Enliven Therapeutics, Inc.",60.9,44.9,72.7
EBF,"Ennis, Inc.",25.3,24.3,95.9
ENVA,Enova International Inc,24.9,23.6,94.2
ENOV,Enovis Corporation,57.6,56.5,97.9
ENVX,Enovix Corporation,217.2,188.2,87.1
NPO,Enpro Inc.,21.1,21.0,99.2
ENSG,"Ensign Group, Inc.",58.4,56.3,96.5
EFSC,Enterprise Financial Services Corp,36.6,35.9,98.0
TRDA,Entrada Therapeutics Inc,38.8,21.8,56.4
EVC,Entravision Communications Corporation Class A,92.0,61.5,69.9
ELA,Envela Corporation,26.0,6.7,25.8
NVRI,Enviri Corporation,82.7,77.0,93.7
EOSE,"Eos Energy Enterprises, Inc. Class A",339.5,333.2,97.9
PLUS,ePlus inc.,26.4,25.9,97.8
EPSN,Epsilon Energy Ltd.,30.2,20.6,57.4
EQBK,"Equity Bancshares, Inc. Class A",20.6,16.8,78.7
ERAS,"Erasca, Inc.",311.0,186.9,56.3
ZGN,Ermenegildo Zegna N.V.,268.3,72.3,24.6
ESCA,"Escalade, Incorporated",13.8,8.7,61.0
ESE,ESCO Technologies Inc.,25.9,25.8,99.5
ESPR,"Esperion Therapeutics, Inc.",257.4,246.5,96.0
ESQ,"Esquire Financial Holdings, Inc.",8.6,7.2,84.4
ESNT,Essent Group Ltd.,92.2,88.7,96.5
EPRT,"Essential Properties Realty Trust, Inc.",216.2,215.0,99.4
ETD,Ethan Allen Interiors Inc.,25.4,23.2,90.7
ETON,"Eton Pharmaceuticals, Inc.",27.4,23.2,85.2
EVEX,"Eve Holding, Inc.",348.3,94.2,27.0
EVCM,"EverCommerce, Inc.",177.0,11.1,6.6
EFOR,"Everforth, Inc.",41.0,39.3,95.5
EVER,"EverQuote, Inc. Class A",35.4,27.0,76.6
EVTC,"EVERTEC, Inc.",61.6,60.3,98.5
EVGO,"EVgo, Inc. Class A",141.1,133.1,94.6
EVI,"EVI Industries, Inc.",12.9,6.2,39.1
EVH,Evolent Health Inc Class A,112.5,102.8,92.3
EOLS,"Evolus, Inc.",65.9,48.4,74.6
EPM,Evolution Petroleum Corporation,35.0,31.3,90.0
EVLV,"Evolv Technologies Holdings, Inc.",179.9,166.1,92.3
EVMN,"Evommune, Inc.",36.0,20.2,50.9
EE,"Excelerate Energy, Inc. Class A",32.1,31.1,97.6
AGNT,"eXp World Holdings, Inc.",164.3,95.3,57.9
EXFY,"Expensify, Inc. Class A",96.4,59.3,65.3
EXPO,"Exponent, Inc.",48.5,48.0,98.9
XPRO,Expro Group Holdings N.V.,113.4,112.2,99.2
EXTR,"Extreme Networks, Inc.",130.8,126.7,97.0
XZO,"Exzeo Group, Inc.",90.9,12.5,13.7
EYPT,"EyePoint, Inc.",83.8,73.6,88.0
FG,F&G Annuities & Life Inc,132.5,129.0,97.5
FN,Fabrinet,35.8,35.7,99.6
FBYD,"Falcon's Beyond Global, Inc. Class A",48.9,25.4,23.2
FFAI,"Faraday Future Intelligent Electric, Inc.",303.6,283.9,93.1
FMAO,"Farmers & Merchants Bancorp, Inc.",13.8,13.2,95.9
FMNB,Farmers National Banc Corp.,59.3,57.9,95.5
FPI,Farmland Partners Inc,43.6,40.2,92.0
FSLY,"Fastly, Inc. Class A",156.5,143.0,92.1
FATE,"Fate Therapeutics, Inc.",116.3,110.8,95.1
FBLA,"FB Bancorp, Inc.",17.2,14.5,79.4
FBK,FB Financial Corporation,51.5,43.2,84.5
AGM,Federal Agricultural Mortgage Corporation Class C,10.8,9.1,84.2
FSS,Federal Signal Corporation,61.0,59.5,97.6
*FRX,Fennec Pharmaceuticals Inc.,34.5,29.5,86.2
GSM,Ferroglobe PLC,186.9,117.1,63.2
FDBC,"Fidelity D & D Bancorp, Inc.",5.8,4.5,81.3
FIGS,"FIGS, Inc. Class A",166.4,150.8,90.2
FOA,"Finance of America Cos., Inc. Class A",16.6,5.4,26.9
FISI,"Financial Institutions, Inc.",19.7,19.2,97.4
FNWD,Finward Bancorp,4.3,3.8,80.3
FINW,FinWise Bancorp,13.7,9.3,68.1
FLY,"Firefly Aerospace, Inc.",160.2,86.8,56.2
FA,First Advantage Corp.,171.5,79.2,45.4
FBNC,First Bancorp,41.4,40.5,96.3
FBP,First Bancorp,154.7,150.9,97.7
FNLC,"First Bancorp, Inc.",11.3,9.8,87.3
FRBA,First Bank,25.1,22.8,90.1
BUSE,First Busey Corporation,84.6,80.7,95.7
FBIZ,"First Business Financial Services, Inc.",8.4,7.7,92.2
FCAP,"First Capital, Inc.",3.3,3.2,95.6
FCF,First Commonwealth Financial Corporation,101.7,99.7,97.8
FCBC,First Community Bankshares Inc,18.9,16.0,84.0
FCCO,First Community Corporation,9.4,8.4,93.3
FFBC,First Financial Bancorp.,104.9,103.7,98.8
FFIN,First Financial Bankshares Inc,143.3,138.0,96.4
THFF,First Financial Corporation,11.9,11.3,94.9
INBK,First Internet Bancorp,8.7,7.3,89.8
FIBK,"First Interstate BancSystem, Inc.",97.1,84.6,87.4
FRME,First Merchants Corporation,63.0,61.7,98.4
FMBH,"First Mid Bancshares, Inc.",26.6,23.6,89.0
FXNC,First National Corporation,9.0,7.7,84.8
TRAX,First Tracks Biotherapeutics Inc,#N/A,#N/A,#N/A
FUNC,First United Corporation,6.4,5.9,94.9
FWRG,"First Watch Restaurant Group, Inc.",61.6,60.3,88.4
MYFW,"First Western Financial, Inc.",9.7,8.0,82.6
FCFS,"FirstCash Holdings, Inc.",43.8,38.4,88.0
FSUN,FirstSun Capital Bancorp,44.1,21.8,49.9
FTLF,"FitLife Brands, Inc.",9.4,8.0,84.9
FSBC,Five Star Bancorp,21.4,15.2,70.9
FIVN,"Five9, Inc.",76.6,73.5,97.4
FLG,"Flagstar Bank, National Association",416.8,301.4,72.5
FLNG,FLEX LNG Ltd,54.1,30.9,57.1
FLXS,"Flexsteel Industries, Inc.",5.4,3.4,67.1
FTK,"Flotek Industries, Inc.",36.2,20.2,46.6
FLOC,Flowco Holdings Inc Class A,41.8,34.6,25.7
FLNC,"Fluence Energy, Inc. Class A",132.4,97.1,53.3
FLR,Fluor Corporation,139.7,137.4,98.4
FFIC,Flushing Financial Corporation,33.9,32.1,93.2
FLYW,Flywire Corp.,123.4,111.7,92.5
FHTX,"Foghorn Therapeutics, Inc.",58.7,31.7,48.5
AFRI,Forafric Global PLC,26.9,5.4,20.3
FOR,Forestar Group Inc.,51.0,19.2,37.4
FORM,"FormFactor, Inc.",78.0,77.3,99.0
FORR,"Forrester Research, Inc.",19.4,11.6,59.3
FTRE,Fortrea Holdings Inc.,94.6,94.0,99.5
FET,"Forum Energy Technologies, Inc.",11.3,9.9,87.6
FWRD,Forward Air Corporation,31.6,21.5,68.1
FCPT,"Four Corners Property Trust, Inc.",109.7,108.3,98.8
FOXF,Fox Factory Holding Corp.,41.9,41.5,98.9
FBRT,"Franklin BSP Realty Trust, Inc.",77.0,75.2,98.2
FC,Franklin Covey Co.,11.3,9.2,83.9
FELE,"Franklin Electric Co., Inc.",44.2,41.0,85.7
FRAF,Franklin Financial Services Corporation,4.5,4.2,93.2
FSP,Franklin Street Properties Corp.,103.7,85.2,80.7
FEIM,"Frequency Electronics, Inc.",9.8,8.7,87.4
FDP,Fresh Del Monte Produce Inc.,47.6,38.8,82.0
FRSH,"Freshworks, Inc. Class A",287.4,201.0,70.5
FRD,"Friedman Industries, Incorporated",7.1,6.7,95.0
FTDR,"Frontdoor, Inc.",70.2,69.7,99.4
ULCC,"Frontier Group Holdings, Inc.",229.8,85.9,37.3
FVR,"FrontView REIT, Inc.",22.7,21.4,87.7
FRPH,FRP Holdings Inc,19.2,14.3,76.9
FSBW,"FS Bancorp, Inc.",7.4,6.3,85.1
FIP,FTAI Infrastructure Incorporation,118.2,108.4,91.6
FUBO,FuboTV Inc. Class A,29.4,28.7,95.6
FULC,"Fulcrum Therapeutics, Inc.",66.6,56.8,85.1
FLGT,"Fulgent Genetics, Inc.",28.4,18.3,64.6
FULT,Fulton Financial Corporation,191.1,188.8,98.8
FNKO,"Funko, Inc. Class A",55.8,39.9,71.2
FF,FutureFuel Corp.,43.9,26.1,59.5
FVCB,"FVCBankcorp, Inc.",18.0,14.9,82.1
GIII,"G-III Apparel Group, Ltd.",42.2,35.7,88.3
GAIA,"Gaia, Inc. Class A",25.3,18.1,70.7
GAMB,Gambling.com Group Ltd,35.1,20.6,56.2
GTX,Garrett Motion Inc,187.2,169.8,89.7
GATX,GATX Corporation,35.5,35.1,98.8
GBFH,GBank Financial Holdings Inc,14.5,9.1,64.0
GCMG,"GCM Grosvenor, Inc. Class A",60.8,59.0,97.3
GNK,Genco Shipping & Trading Ltd,43.6,31.9,73.5
GENC,"Gencor Industries, Inc.",14.7,8.7,69.6
WGS,GeneDx Holdings Corp. Class A,29.7,26.0,87.7
GCO,Genesco Inc.,10.9,9.4,91.1
GNE,Genie Energy Ltd. Class B,26.4,12.3,45.3
GENI,Genius Sports Limited,257.5,231.2,91.6
THRM,Gentherm Incorporated,30.7,30.0,97.5
GNW,"Genworth Financial, Inc.",383.0,374.0,97.9
GEO,GEO Group Inc,133.6,127.1,94.9
GABC,"German American Bancorp, Inc.",37.6,36.3,95.4
GERN,Geron Corporation,641.5,609.0,94.9
GETY,"Getty Images Holdings, Inc. Class A",419.0,85.5,21.1
GTY,Getty Realty Corp.,60.5,56.7,93.5
GEVO,"Gevo, Inc.",243.4,232.9,95.2
ROCK,"Gibraltar Industries, Inc.",29.7,29.3,99.0
GCT,"GigaCloud Technology, Inc. Class A",36.5,26.5,70.3
DNA,"Ginkgo Bioworks Holdings, Inc. Class A",58.3,43.6,74.4
GBCI,"Glacier Bancorp, Inc.",130.1,129.5,99.5
GOOD,Gladstone Commercial Corporation,48.7,47.8,98.1
LAND,Gladstone Land Corp.,43.1,40.5,93.2
GKOS,Glaukos Corp,58.7,56.1,95.8
GBTG,"Global Business Travel Group, Inc. Class A",521.5,239.4,45.2
GIC,Global Industrial Company,38.3,7.8,21.1
GNL,Global Net Lease Inc,211.9,188.5,89.2
GWRS,"Global Water Resources, Inc.",28.8,13.6,47.4
GSAT,"Globalstar, Inc.",128.6,51.9,39.6
GOGO,Gogo Inc.,135.2,77.3,57.3
GOCO,GoHealth Inc Class A,16.2,11.8,72.8
GLNG,Golar LNG Limited,101.6,85.2,84.6
GOLD,"Gold.com, Inc.",28.5,18.2,74.3
GT,Goodyear Tire & Rubber Company,287.4,275.7,96.1
GSHD,"Goosehead Insurance, Inc. Class A",23.7,21.2,94.5
GRC,Gorman-Rupp Company,26.4,20.8,78.6
GOSS,"Gossamer Bio, Inc.",234.7,205.4,79.7
GPGI,"GPGI, Inc. Class A",289.9,181.8,53.4
GHM,Graham Corporation,11.1,10.4,94.3
GHC,Graham Holdings Co. Class B,4.3,3.2,73.9
GRAL,GRAIL Inc,42.9,38.9,89.8
GVA,Granite Construction Incorporated,43.7,43.3,99.0
GRNT,"Granite Ridge Resources, Inc.",131.9,64.1,48.5
GTN,"Gray Media, Inc.",102.8,86.3,83.9
GSBC,"Great Southern Bancorp, Inc.",10.9,7.4,69.1
GRBK,"Green Brick Partners, Inc.",43.1,39.6,91.9
GDOT,Green Dot Corporation Class A,56.7,50.5,87.9
GPRE,Green Plains Inc.,70.0,67.6,96.8
GBX,"Greenbrier Companies, Inc.",30.9,30.0,97.5
GCBC,"Greene County Bancorp, Inc.",17.0,6.9,40.6
GLRE,"Greenlight Capital Re, Ltd. Class A",33.2,24.6,75.2
GLSI,"Greenwich LifeSciences, Inc.",13.9,6.6,45.0
GEF,Greif Inc Class A,57.1,23.9,43.9
GEF.B,Greif Inc Class B,57.1,0.4,0.6
GDYN,"Grid Dynamics Holdings, Inc. Class A",83.6,63.8,77.2
GFF,Griffon Corporation,45.9,38.0,83.8
GRND,Grindr Inc.,177.7,32.8,16.8
GO,Grocery Outlet Holding Corp.,98.2,90.7,94.3
GPI,"Group 1 Automotive, Inc.",11.9,11.5,96.7
GRPN,"Groupon, Inc.",38.0,22.9,61.6
GH,"Guardant Health, Inc.",132.6,127.5,96.3
GRDN,"Guardian Pharmacy Services, Inc. Class A",63.3,24.2,35.5
GPOR,Gulfport Energy Corp,18.0,17.7,98.8
GYRE,Gyre Therapeutics Inc,97.0,13.2,12.9
FUL,H.B. Fuller Company,54.5,54.2,99.5
HTO,H2O America,41.8,39.0,92.2
HASI,"HA Sustainable Infrastructure Capital, Inc.",127.8,125.8,98.4
HCKT,"Hackett Group, Inc.",25.2,22.1,88.6
HAE,Haemonetics Corporation,46.5,45.8,#N/A
HAIN,"Hain Celestial Group, Inc.",90.3,87.7,98.2
HNRG,Hallador Energy Co,47.1,35.2,73.6
HBB,Hamilton Beach Brands Holding Co. Class A,13.6,5.1,38.6
HG,"Hamilton Insurance Group, Ltd. Class B",99.3,62.3,60.3
HWC,Hancock Whitney Corporation,81.2,80.4,99.0
HAFC,Hanmi Financial Corporation,29.8,29.1,98.0
HNVR,Hanover Bancorp Inc,7.2,4.1,58.3
HLIT,Harmonic Inc.,110.2,108.1,98.3
HRMY,"Harmony Biosciences Holdings, Inc.",57.9,50.5,87.0
HROW,"Harrow, Inc.",37.3,31.1,83.8
HVT,"Haverty Furniture Companies, Inc.",16.2,13.5,82.1
HE,"Hawaiian Electric Industries, Inc.",172.6,172.2,99.8
HWKN,"Hawkins, Inc.",20.9,19.2,91.6
HWBK,"Hawthorn Bancshares, Inc.",6.9,6.2,89.8
HBT,"HBT Financial, Inc.",36.4,17.3,39.2
HCI,"HCI Group, Inc.",12.8,10.9,85.7
HCAT,"Health Catalyst, Inc.",73.9,63.8,88.2
HCSG,"Healthcare Services Group, Inc.",68.6,67.8,98.9
HQY,HealthEquity Inc,84.5,82.2,97.6
HSTM,"HealthStream, Inc.",29.2,23.2,83.3
HTFL,"HeartFlow, Inc.",85.8,62.8,61.1
HTLD,"Heartland Express, Inc.",77.5,51.5,66.5
HL,Hecla Mining Company,670.7,665.2,98.7
HELE,Helen of Troy Limited,23.3,22.7,98.2
HLIO,"Helios Technologies, Inc.",33.0,32.7,99.1
HLX,"Helix Energy Solutions Group, Inc.",147.3,137.3,93.2
HP,"Helmerich & Payne, Inc.",99.9,95.8,96.0
HLF,Herbalife Ltd.,103.7,100.7,97.2
HRI,"Herc Holdings, Inc.",33.4,32.7,97.9
HFWA,Heritage Financial Corporation,41.2,40.6,98.3
HRTG,"Heritage Insurance Holdings, Inc.",30.3,24.3,79.5
HRTX,Heron Therapeutics Inc,189.3,186.2,98.5
HTZ,Hertz Global Holdings Inc,315.8,299.8,95.8
HFFG,"HF Foods Group, Inc.",53.5,37.1,70.6
HPK,HighPeak Energy Inc,126.4,21.7,17.4
HLMN,Hillman Solutions Corp.,196.2,192.7,98.8
HTH,Hilltop Holdings Inc.,58.5,39.3,67.7
HGV,"Hilton Grand Vacations, Inc.",79.8,60.2,76.7
BN957G,Himalaya Shipping Ltd.,47.0,26.9,#N/A
HIMS,"Hims & Hers Health, Inc. Class A",227.9,206.3,90.9
HIFS,Hingham Institution for Savings,2.2,1.8,81.5
HIPO,Hippo Holdings Inc,26.0,18.0,70.9
HQI,"HireQuest, Inc.",13.9,5.5,38.6
HNI,HNI Corporation,72.0,70.9,98.3
HLLY,Holley Inc.,120.4,76.5,63.7
HBCP,"Home Bancorp, Inc.",7.8,6.9,85.7
HOMB,"Home BancShares, Inc.",201.4,188.2,93.9
HTB,"HomeTrust Bancshares, Inc.",16.8,15.1,90.2
HNST,"Honest Company, Inc.",110.1,96.9,85.1
HOPE,"Hope Bancorp, Inc.",127.8,124.1,95.1
HMN,Horace Mann Educators Corporation,40.4,40.1,98.7
HBNC,"Horizon Bancorp, Inc.",51.3,50.2,97.9
HOV,"Hovnanian Enterprises, Inc. Class A",5.9,4.6,74.7
HUBG,"Hub Group, Inc. Class A",61.2,59.0,97.1
HPP,"Hudson Pacific Properties, Inc.",54.2,53.4,98.5
HDSN,"Hudson Technologies, Inc.",42.1,36.9,88.3
HUMA,"Humacyte, Inc.",222.0,201.9,85.0
HURN,Huron Consulting Group Inc.,16.2,15.8,97.9
*HUT,Hut 8 Corp.,112.6,101.7,#N/A
HYLN,Hyliion Holdings Corp. Class A,178.3,123.5,68.0
HY,"Hyster-Yale, Inc. Class A",17.9,9.6,53.7
IIIV,"i3 Verticals, Inc. Class A",22.1,20.9,94.9
IBEX,IBEX Ltd,13.4,10.7,80.0
IBTA,"Ibotta, Inc. Class A",23.8,9.5,44.5
ICFI,"ICF International, Inc.",18.1,17.8,98.5
ICHR,"Ichor Holdings, Ltd.",34.8,34.2,96.9
ICUI,"ICU Medical, Inc.",25.0,24.5,96.9
IDR,Idaho Strategic Resources Inc,15.8,14.9,94.5
IDYA,"IDEAYA Biosciences, Inc.",87.9,82.6,94.1
IDT,IDT Corporation Class B,25.1,20.4,80.7
IESC,"IES Holdings, Inc.",19.9,19.5,97.6
IHRT,"iHeartMedia, Inc. Class A",151.2,113.6,77.6
IMAX,IMAX Corporation,54.9,44.6,80.8
IMMR,Immersion Corporation,33.1,27.1,88.2
IBRX,ImmunityBio Inc,"1,047.4",376.1,33.6
IMNM,"Immunome, Inc.",113.3,102.8,90.5
IMVT,Immunovant Inc,203.5,83.1,40.9
PI,"Impinj, Inc.",30.5,29.5,97.0
IRT,"Independence Realty Trust, Inc.",235.7,233.9,99.2
INDB,Independent Bank Corp.,48.2,47.6,98.4
IBCP,Independent Bank Corporation,20.6,19.6,95.4
INDI,"indie Semiconductor, Inc. Class A",226.9,208.2,91.3
INDV,"Indivior Pharmaceuticals, Inc.",124.8,116.2,88.2
ILPT,Industrial Logistics Properties Trust,66.7,55.1,82.6
INR,"Infinity Natural Resources, Inc. Class A",18.8,3.5,98.9
III,"Information Services Group, Inc.",47.8,33.4,70.9
NGVT,Ingevity Corporation,34.8,34.3,98.5
IMKTA,"Ingles Markets, Incorporated Class A",18.6,14.5,77.8
IKT,"Inhibikase Therapeutics, Inc.",132.0,102.9,75.4
INBX,"Inhibrx Biosciences, Inc.",14.6,10.2,70.0
INMB,"INmune Bio, Inc.",26.6,22.1,83.0
INOD,Innodata Inc.,32.7,31.0,94.8
IOSP,Innospec Inc.,24.6,24.2,98.6
INNV,InnovAge Holding Corp.,135.7,21.4,15.3
IIPR,Innovative Industrial Properties Inc,28.8,28.2,98.3
INVX,"Innovex International, Inc.",68.8,45.0,55.0
INVA,"Innoviva, Inc.",73.8,72.9,98.8
INV,"Innventure, Inc.",80.1,49.8,51.7
INGN,"Inogen, Inc.",27.1,26.3,87.9
INSG,Inseego Corp.,16.3,15.5,93.5
NSIT,"Insight Enterprises, Inc.",30.2,29.8,98.5
NSP,"Insperity, Inc.",38.2,35.8,94.8
INSE,"Inspired Entertainment, Inc.",26.7,24.6,92.8
IBP,"Installed Building Products, Inc.",26.9,23.2,84.9
IIIN,"Insteel Industries, Inc.",19.4,18.5,95.0
INTA,"Intapp, Inc.",77.1,69.1,90.4
ITGR,Integer Holdings Corporation,34.0,33.5,99.0
IART,Integra LifeSciences Holdings Corporation,77.8,66.5,85.6
