cusip,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,error
74347G465,,ETF,,,,,,,
278642953,No data found,,,,,,,,
31188H101,No data found,,,,,,,,
33734J102,,ETF,,,,,,,
359590304,No data found,,,,,,,,
53656F805,,ETF,,,,,,,
66263L643,No data found,,,,,,,,
99Y801GT6,No data found,,,,,,,,
46654Q815,,ETF,,,,,,,
31423L107,,ETF,,,,,,,
256827953,No data found,,,,,,,,
25960R905,No data found,,,,,,,,
256918903,No data found,,,,,,,,
25961D955,No data found,,,,,,,,
26142Q954,No data found,,,,,,,,
26145B903,No data found,,,,,,,,
26210V902,No data found,,,,,,,,
26210V952,No data found,,,,,,,,
26443V901,No data found,,,,,,,,
26443V951,No data found,,,,,,,,
266042907,No data found,,,,,,,,
40429C607,No data found,,,,,,,,
78464A201,,ETF,,,,,,,
268158901,No data found,,,,,,,,
356500108,No data found,,,,,,,,
268158951,No data found,,,,,,,,
46138E801,No data found,,,,,,,,
268311907,No data found,,,,,,,,
268311957,No data found,,,,,,,,
47103U746,,ETF,,,,,,,
268948906,No data found,,,,,,,,
26923N951,No data found,,,,,,,,
26923Q905,No data found,,,,,,,,
26923Q907,No data found,,,,,,,,
26923Q952,No data found,,,,,,,,
26923Q955,No data found,,,,,,,,
279158959,No data found,,,,,,,,
28225C906,No data found,,,,,,,,
28620K906,No data found,,,,,,,,
26923N950,No data found,,,,,,,,
29446Y902,No data found,,,,,,,,
29444U950,No data found,,,,,,,,
29446Y952,No data found,,,,,,,,
28620K956,No data found,,,,,,,,
28852N909,No data found,,,,,,,,
28852N959,No data found,,,,,,,,
443251103,No data found,,,,,,,,
29089Q955,No data found,,,,,,,,
33939L837,,ETF,,,,,,,
29250N905,No data found,,,,,,,,
29250N955,No data found,,,,,,,,
29089Q905,No data found,,,,,,,,
29446M902,No data found,,,,,,,,
292554902,No data found,,,,,,,,
29272W909,No data found,,,,,,,,
29446M952,No data found,,,,,,,,
29476L957,No data found,,,,,,,,
296006909,No data found,,,,,,,,
Q1239T109,No data found,,,,,,,,
29251M906,No data found,,,,,,,,
444560106,No data found,,,,,,,,
638157102,No data found,,,,,,,,
456837400,,ETD,,,6029,Finance Insurance And Real Estate,Commercial Banks Nec,,Banking
45822P204,No data found,,,,,,,,
45684W107,No data found,,,,,,,,
46434G806,,ETF,,,,,,,
958102AP0,No data found,,,,,,,,
466110103,No data found,,,,,,,,
48248A405,,ETD,,,6199,Finance Insurance And Real Estate,Finance Services,,Banking
501334106,No data found,,,,,,,,
30212P903,No data found,,,,,,,,
471115402,No data found,,,,,,,,
48265W108,No data found,,,,,,,,
296006959,No data found,,,,,,,,
300426953,No data found,,,,,,,,
30161N951,No data found,,,,,,,,
30212W900,No data found,,,,,,,,
302130909,No data found,,,,,,,,
30329Y904,No data found,,,,,,,,
30329Y954,No data found,,,,,,,,
31189P902,No data found,,,,,,,,
301505955,No data found,,,,,,,,
38747R371,,ETF,,,,,,,
88636V421,,ETF,,,,,,,
30231G902,No data found,,,,,,,,
9HH7D0BE5,No data found,,,,,,,,
G9066F101,No data found,,,,,,,,
9HH43KXH8,No data found,,,,,,,,
9HH7CUSI3,No data found,,,,,,,,
N0610Q109,No data found,,,,,,,,
29786A906,No data found,,,,,,,,
585013105,No data found,,,,,,,,
9HH0U18X1,No data found,,,,,,,,
9HH5FTJP1,No data found,,,,,,,,
G6525F102,No data found,,,,,,,,
9HH3MCIE1,No data found,,,,,,,,
G982AW100,No data found,,,,,,,,
H0743H114,No data found,,,,,,,,
128994662,No data found,,,,,,,,
31189P952,No data found,,,,,,,,
9HH7D0AJ5,No data found,,,,,,,,
30231G952,No data found,,,,,,,,
314911908,No data found,,,,,,,,
22160K955,No data found,,,,,,,,
29355A907,No data found,,,,,,,,
573810207,No data found,,,,,,,,
316092906,No data found,,,,,,,,
67092P698,,ETF,,,,,,,
31613E903,No data found,,,,,,,,
31866P952,No data found,,,,,,,,
32026V904,No data found,,,,,,,,
32051X908,No data found,,,,,,,,
32051X958,No data found,,,,,,,,
H8365A119,No data found,,,,,,,,
S22362107,No data found,,,,,,,,
Y7749X101,No data found,,,,,,,,
359678909,No data found,,,,,,,,
57061R585,,ETF,,,,,,,
361008955,No data found,,,,,,,,
88636R305,,ETF,,,,,,,
29355A957,No data found,,,,,,,,
81369Y845,,ETF,,,,,,,
761562107,,ETF,,,,,,,
88340C305,,ETF,,,,,,,
589339100,No data found,,,,,,,,
314911958,No data found,,,,,,,,
46654Q567,,ETF,,,,,,,
9HH2ZJ4C3,No data found,,,,,,,,
606813202,No data found,,,,,,,,
11135F951,No data found,,,,,,,,
172967954,No data found,,,,,,,,
05964H905,No data found,,,,,,,,
26923Q630,,ETF,,,,,,,
464286950,No data found,,,,,,,,
36116M906,No data found,,,,,,,,
38747R413,,ETF,,,,,,,
46435G954,No data found,,,,,,,,
29082A957,No data found,,,,,,,,
36162J906,No data found,,,,,,,,
38747R447,,ETF,,,,,,,
36168Q904,No data found,,,,,,,,
63009Y104,No data found,,,,,,,,
36237H901,No data found,,,,,,,,
36241U906,No data found,,,,,,,,
36241U956,No data found,,,,,,,,
26923Q663,,ETF,,,,,,,
38747R348,,ETF,,,,,,,
36262G901,No data found,,,,,,,,
059460953,No data found,,,,,,,,
595112953,No data found,,,,,,,,
38747R389,,ETF,,,,,,,
37733W954,No data found,,,,,,,,
682736103,No data found,,,,,,,,
64110L956,No data found,,,,,,,,
456837953,No data found,,,,,,,,
62476L207,No data found,,,,,,,,
46092D574,,ETF,,,,,,,
46092D582,,ETF,,,,,,,
46092D657,,ETF,,,,,,,
36237H951,No data found,,,,,,,,
03938L953,No data found,,,,,,,,
38747R868,,ETF,,,,,,,
46092D699,,ETF,,,,,,,
25460G195,,ETF,,,,,,,
464286900,No data found,,,,,,,,
464286906,No data found,,,,,,,,
46435G904,No data found,,,,,,,,
39854F951,No data found,,,,,,,,
46092D616,,ETF,,,,,,,
78464A128,,ETF,,,,,,,
780259905,No data found,,,,,,,,
38963V106,,,,,,,,,
780259955,No data found,,,,,,,,
88636R172,,ETF,,,,,,,
294821908,No data found,,,,,,,,
36317J959,No data found,,,,,,,,
36472T959,No data found,,,,,,,,
366505905,No data found,,,,,,,,
36866J955,No data found,,,,,,,,
36872P903,No data found,,,,,,,,
36317J909,No data found,,,,,,,,
37247D956,No data found,,,,,,,,
372460955,No data found,,,,,,,,
88636V603,,ETF,,,,,,,
38141G954,No data found,,,,,,,,
374297909,No data found,,,,,,,,
376535958,No data found,,,,,,,,
378973957,No data found,,,,,,,,
378973907,No data found,,,,,,,,
88636R487,,ETF,,,,,,,
37954A903,No data found,,,,,,,,
882927247,,ETF,,,,,,,
37954A953,No data found,,,,,,,,
38059T956,No data found,,,,,,,,
38068T905,No data found,,,,,,,,
74255Y888,,ETF,,,,,,,
38068T955,No data found,,,,,,,,
88636V819,,ETF,,,,,,,
38071H956,No data found,,,,,,,,
746729508,,ETF,,,,,,,
389375906,No data found,,,,,,,,
389375956,No data found,,,,,,,,
69364V106,No data found,,,,,,,,
38071H906,No data found,,,,,,,,
38965D954,No data found,,,,,,,,
398433902,No data found,,,,,,,,
88636V785,,ETF,,,,,,,
370334954,No data found,,,,,,,,
398438908,No data found,,,,,,,,
40054A908,No data found,,,,,,,,
40054A958,No data found,,,,,,,,
464288166,,ETF,,,,,,,
78468R671,,ETF,,,,,,,
97717X610,,ETF,,,,,,,
464287804,,ETF,,,,,,,
46436E759,,ETF,,,,,,,
464287507,,ETF,,,,,,,
74347R503,,ETF,,,,,,,
40412C951,No data found,,,,,,,,
659310106,,UNIT,,,6792,Finance Insurance And Real Estate,Oil Royalty Traders,,
41653L305,,ETF,,,,,,,
316092543,,ETF,,,,,,,
33939L829,,ETF,,,,,,,
26922A719,,ETF,,,,,,,
03945R902,No data found,,,,,,,,
73935X815,,ETF,,,,,,,
73936Q819,,ETF,,,,,,,
73936T433,,ETF,,,,,,,
25434V724,,ETF,,,,,,,
33740F243,,ETF,,,,,,,
33744U204,,ETF,,,,,,,
74347R370,,ETF,,,,,,,
73936Q207,,ETF,,,,,,,
40131M959,No data found,,,,,,,,
401617905,No data found,,,,,,,,
40415F951,No data found,,,,,,,,
25434V500,,ETF,,,,,,,
405166959,No data found,,,,,,,,
40609P955,No data found,,,,,,,,
40637H909,No data found,,,,,,,,
73937B605,,ETF,,,,,,,
73937B704,,ETF,,,,,,,
29287L809,,ETF,,,,,,,
40637H959,No data found,,,,,,,,
73936Q108,,ETF,,,,,,,
66538H534,,ETF,,,,,,,
78081T104,,CEF,,,,,,,
149123901,No data found,,,,,,,,
412822958,No data found,,,,,,,,
008073908,No data found,,,,,,,,
82509L907,No data found,,,,,,,,
419870950,No data found,,,,,,,,
874039900,No data found,,,,,,,,
90274D416,,ETN,,,,,,,
45782C110,,ETF,,,,,,,
74347X476,,ETF,,,,,,,
464287150,,ETF,,,,,,,
66537J879,,ETF,,,,,,,
464287226,,ETF,,,,,,,
01879R106,,CEF,,,,,,,
