cusip,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,error
053604112,Domestic Common Stock Warrant,Technology,Software - Infrastructure,7372,Services,Services-Prepackaged Software,,Business Services,
24345A408,Domestic Common Stock,Technology,Software - Application,7370,Services,Services-Computer Programming Data Processing Etc.,,Business Services,
28059Q111,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
29248N100,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
30319B108,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
14171W111,Domestic Common Stock Warrant,Healthcare,Health Information Services,8050,Services,Services-Nursing & Personal Care Facilities,,Healthcare,
31809Y111,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
35166L208,Domestic Common Stock Secondary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
36260F113,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
374397305,Domestic Common Stock,Industrials,Consulting Services,8742,Services,Services-Management Consulting Services,,Business Services,
37518W106,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
37892B207,Domestic Common Stock Secondary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
380799114,Domestic Common Stock Warrant,Basic Materials,Specialty Chemicals,2860,Manufacturing,Industrial Organic Chemicals,,Chemicals,
311874101,Domestic Common Stock Primary Class,Industrials,Conglomerates,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,
38119T807,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,
382870111,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
41150T116,Domestic Common Stock Warrant,Real Estate,Real Estate - Development,1531,Construction,Operative Builders,,Construction,
44376L107,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
44862P125,Domestic Common Stock Warrant,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,
48284E113,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
49309J202,Domestic Common Stock,Energy,Oil & Gas Equipment & Services,1389,Mining,Oil & Gas Field Services Nec,,Petroleum and Natural Gas,
48284E204,Domestic Common Stock Secondary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
49878L109,Domestic Common Stock Primary Class,Technology,Software - Application,7374,Services,Services-Computer Processing & Data Preparation,,Business Services,
49878L117,Domestic Common Stock Warrant,Technology,Software - Application,7374,Services,Services-Computer Processing & Data Preparation,,Business Services,
50116V115,Domestic Common Stock Warrant,Technology,Software - Application,7373,Services,Services-Computer Integrated Systems Design,,Computers,
517103602,Canadian Common Stock,Basic Materials,Other Industrial Metals & Mining,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,
51818V114,Domestic Common Stock Warrant,Technology,Software - Application,5072,Wholesale Trade,Wholesale-Hardware,,Wholesale,
M8744T114,Domestic Common Stock Warrant,Communication Services,Internet Content & Information,7370,Services,Services-Computer Programming Data Processing Etc.,,Business Services,
03211Q119,Domestic Common Stock Warrant,Technology,Communication Equipment,3669,Manufacturing,Communications Equipment Nec,,Electronic Equipment,
376536884,Domestic Preferred Stock,Real Estate,REIT - Diversified,6519,Finance Insurance And Real Estate,Lessors Of Real Property Nec,,Real Estate,
54015L111,Domestic Common Stock Warrant,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,
